datetime,storage_acft
1/19/39,19678254.9
1/20/39,19663255.5
1/21/39,19644502.4
1/22/39,19633326.7
1/23/39,19611000
1/24/39,19592397
1/25/39,19562638.2
1/26/39,19537844.2
1/27/39,19503120.6
1/28/39,19460964.8
1/29/39,19418793.9
1/30/39,19366943.6
1/31/39,19318971.8
2/1/39,19277156
2/2/39,19230415.4
2/3/39,19207037.6
2/4/39,19186137.2
2/5/39,19154156
2/6/39,19135803
2/7/39,19082115.2
2/8/39,19052836.4
2/9/39,19008918.2
2/10/39,18977197
2/11/39,18936942.4
2/12/39,18900366.5
2/13/39,18858019.4
2/14/39,18808405.3
2/15/39,18764997.1
2/16/39,18769801.8
2/17/39,18764997.1
2/18/39,18719396.5
2/19/39,18682204.1
2/20/39,18640207
2/21/39,18607804.7
2/22/39,18574201.2
2/23/39,18533405.3
2/24/39,18501002.9
2/25/39,18464997.1
2/26/39,18427804.7
2/27/39,18388485.4
2/28/39,18352794.1
3/1/39,18320661.7
3/2/39,18284955.9
3/3/39,18259970.6
3/4/39,18256397.1
3/5/39,18259970.6
3/6/39,18263544.1
3/7/39,18256397.1
3/8/39,18251647
3/9/39,18240926.5
3/10/39,18226647.1
3/11/39,18223073.6
3/12/39,18225455.9
3/13/39,18220705.8
3/14/39,18208794.2
3/15/39,18201661.7
3/16/39,18202852.9
3/17/39,18195705.9
3/18/39,18198088.3
3/19/39,18196897.1
3/20/39,18196897.1
3/21/39,18196897.1
3/22/39,18199279.4
3/23/39,18200470.6
3/24/39,18212367.7
3/25/39,18233794.1
3/26/39,18273058.8
3/27/39,18305191.2
3/28/39,18343264.8
3/29/39,18376588.3
3/30/39,18411102.9
3/31/39,18446994.1
4/1/39,18483000
4/2/39,18511798.8
4/3/39,18535793
4/4/39,18561002.9
4/5/39,18582594.7
4/6/39,18605402.3
4/7/39,18614997.1
4/8/39,18642594.7
4/9/39,18669005.9
4/10/39,18694201.2
4/11/39,18720597.7
4/12/39,18745793
4/13/39,18762594.7
4/14/39,18789055.9
4/15/39,18805982.9
4/16/39,18828980.6
4/17/39,18845922.4
4/18/39,18858019.4
4/19/39,18872538.8
4/20/39,18887058.2
4/21/39,18904000
4/22/39,18914975.8
4/23/39,18924745.4
4/24/39,18935721.2
4/25/39,18944254.6
4/26/39,18951581.8
4/27/39,18962557.6
4/28/39,18977197
4/29/39,18995500
4/30/39,19016245.4
5/1/39,19035754.6
5/2/39,19056500
5/3/39,19079672.9
5/4/39,19110172.9
5/5/39,19146778.8
5/6/39,19194740.6
5/7/39,19250084.6
5/8/39,19307906
5/9/39,19368174.8
5/10/39,19427482.4
5/11/39,19499397
5/12/39,19563879.4
5/13/39,19620914.6
5/14/39,19673250
5/15/39,19734498.8
5/16/39,19803254.9
5/17/39,19860750
5/18/39,19917393.8
5/19/39,19968196.9
5/20/39,20025356.2
5/21/39,20079957.5
5/22/39,20129489.4
5/23/39,20185687.5
5/24/39,20238156.3
5/25/39,20301085
5/26/39,20366876.2
5/27/39,20440415
5/28/39,20510064.3
5/29/39,20577146.9
5/30/39,20635206.3
5/31/39,20685692.4
6/1/39,20727301.3
6/2/39,20775400.6
6/3/39,20815882.3
6/4/39,20861745.1
6/5/39,20906280.6
6/6/39,20964232.9
6/7/39,21018357.4
6/8/39,21072481.9
6/9/39,21123963.9
6/10/39,21183357.4
6/11/39,21237871.9
6/12/39,21287081.3
6/13/39,21330965.5
6/14/39,21364215.5
6/15/39,21397465.5
6/16/39,21425406.5
6/17/39,21452000
6/18/39,21477452.1
6/19/39,21501579.3
6/20/39,21532396.7
6/21/39,21560547.9
6/22/39,21580634.8
6/23/39,21602199.3
6/24/39,21615696
6/25/39,21627857.9
6/26/39,21634598
6/27/39,21641354.6
6/28/39,21642705.9
6/29/39,21646743.4
6/30/39,21649446
7/1/39,21646743.4
7/2/39,21646743.4
7/3/39,21646743.4
7/4/39,21645392.1
7/5/39,21642705.9
7/6/39,21635949.3
7/7/39,21635949.3
7/8/39,21631895.4
7/9/39,21631895.4
7/10/39,21623804
7/11/39,21612993.4
7/12/39,21607604.6
7/13/39,21600848
7/14/39,21590054
7/15/39,21579293.5
7/16/39,21569920.7
7/17/39,21555182.6
7/18/39,21548476.1
7/19/39,21532396.7
7/20/39,21519000
7/21/39,21502920.7
7/22/39,21492206.5
7/23/39,21476127.2
7/24/39,21461372.8
7/25/39,21450668.7
7/26/39,21436040.6
7/27/39,21413424.8
7/28/39,21400128.1
7/29/39,21388162.6
7/30/39,21374865.8
7/31/39,21357575.2
8/1/39,21344262.2
8/2/39,21325656.5
8/3/39,21312343.5
8/4/39,21289743.9
8/5/39,21279093.5
8/6/39,21256493.9
8/7/39,21232546.8
8/8/39,21221912.6
8/9/39,21199296.8
8/10/39,21182036.1
8/11/39,21167518.1
8/12/39,21151678.7
8/13/39,21135839.4
8/14/39,21116036.1
8/15/39,21097554.2
8/16/39,21083036.1
8/17/39,21068518.1
8/18/39,21057963.9
8/19/39,21039481.9
8/20/39,21027606.4
8/21/39,21011767.1
8/22/39,20997232.9
8/23/39,20977445.8
8/24/39,20961606.4
8/25/39,20943124.5
8/26/39,20924642.6
8/27/39,20908903.2
8/28/39,20887938.7
8/29/39,20870908.1
8/30/39,20852566.2
8/31/39,20835535.5
9/1/39,20817193.6
9/2/39,20797556.4
9/3/39,20778003.2
9/4/39,20772798.1
9/5/39,20753294.9
9/6/39,20749407
