datetime,release volume_acft
1/27/37,9966.94215
1/28/37,10224.7934
1/29/37,9877.68595
1/30/37,9947.10744
1/31/37,8370.24793
2/1/37,10353.719
2/2/37,10234.7107
2/3/37,9798.34711
2/4/37,10115.7025
2/5/37,9887.60331
2/6/37,9818.18182
2/7/37,10066.1157
2/8/37,10115.7025
2/9/37,10115.7025
2/10/37,10254.5455
2/11/37,10790.0826
2/12/37,10482.6446
2/13/37,10581.8182
2/14/37,10314.0496
2/15/37,10631.405
2/16/37,10988.4298
2/17/37,10790.0826
2/18/37,11057.8512
2/19/37,11018.1818
2/20/37,10571.9008
2/21/37,10512.3967
2/22/37,10760.3306
2/23/37,10988.4298
2/24/37,11533.8843
2/25/37,12327.2727
2/26/37,13755.3719
2/27/37,14519.0083
2/28/37,14300.8265
3/1/37,14360.3306
3/2/37,14023.1405
3/3/37,14310.7438
3/4/37,14221.4876
3/5/37,14191.7355
3/6/37,13904.1322
3/7/37,14747.1074
3/8/37,15352.0661
3/9/37,16383.4711
3/10/37,18287.6033
3/11/37,18981.8182
3/12/37,18961.9835
3/13/37,18644.6281
3/14/37,18743.8017
3/15/37,18833.0579
3/16/37,18733.8843
3/17/37,18733.8843
3/18/37,18168.595
3/19/37,17851.2397
3/20/37,17672.7273
3/21/37,17732.2314
3/22/37,18138.843
3/23/37,18228.0992
3/24/37,16294.2149
3/25/37,14766.9422
3/26/37,14479.3388
3/27/37,15510.7438
3/28/37,16234.7107
3/29/37,17563.6364
3/30/37,18188.4298
3/31/37,18307.438
4/1/37,18604.9587
4/2/37,18267.7686
4/3/37,17930.5785
4/4/37,18069.4215
4/5/37,18357.0248
4/6/37,18168.595
4/7/37,18257.8512
4/8/37,18069.4215
4/9/37,18505.7851
4/10/37,18109.0909
4/11/37,17980.1653
4/12/37,18922.3141
4/13/37,17920.6612
4/14/37,18763.6364
4/15/37,18803.3058
4/16/37,18783.4711
4/17/37,18644.6281
4/18/37,18793.3884
4/19/37,18842.9752
4/20/37,18803.3058
4/21/37,18823.1405
4/22/37,18803.3058
4/23/37,18971.9008
4/24/37,18985.7851
4/25/37,19358.6777
4/26/37,19457.8512
4/27/37,19348.7603
4/28/37,18882.6446
4/29/37,19666.1157
4/30/37,19507.438
5/1/37,19319.0083
5/2/37,19725.6198
5/3/37,19507.438
5/4/37,19319.0083
5/5/37,19348.7603
5/6/37,19648.2645
5/7/37,19428.0992
5/8/37,18763.6364
5/9/37,18763.6364
5/10/37,18644.6281
5/11/37,18961.9835
5/12/37,18674.3802
5/13/37,18406.6116
5/14/37,17712.3967
5/15/37,17761.9835
5/16/37,17752.0661
5/17/37,17226.4463
5/18/37,16730.5785
5/19/37,16532.2314
5/20/37,16591.7355
5/21/37,16581.8182
5/22/37,16561.9835
5/23/37,16621.4876
5/24/37,16581.8182
5/25/37,16542.1488
5/26/37,16502.4793
5/27/37,16561.9835
5/28/37,16571.9008
5/29/37,16442.9752
5/30/37,16542.1488
5/31/37,16581.8182
6/1/37,16571.9008
6/2/37,16462.8099
6/3/37,16690.9091
6/4/37,17107.438
6/5/37,17752.0661
6/6/37,17553.719
6/7/37,17553.719
6/8/37,17543.8017
6/9/37,18168.595
6/10/37,18614.876
6/11/37,18604.9587
6/12/37,18585.124
6/13/37,18654.5455
6/14/37,18595.0413
